timestamp_utc,symbol,open,high,low,close,volume,session
1704153600,EURUSD,1.10426,1.1044,1.10421,1.10438,326.0,asia
1704154500,EURUSD,1.10438,1.10446,1.10431,1.10439,249.0,asia
1704155400,EURUSD,1.10439,1.10439,1.1043,1.10436,535.0,asia
1704156300,EURUSD,1.10436,1.10448,1.10432,1.10445,575.0,asia
1704157200,EURUSD,1.10446,1.10447,1.10383,1.10384,1725.0,asia
1704158100,EURUSD,1.10384,1.10384,1.10372,1.10378,1728.0,asia
1704159000,EURUSD,1.10378,1.10384,1.10362,1.10366,2214.0,asia
1704159900,EURUSD,1.10366,1.10373,1.10356,1.10365,2543.0,asia
1704160800,EURUSD,1.10365,1.1038000000000001,1.10365,1.10371,3209.0,asia
1704161700,EURUSD,1.10371,1.10373,1.10342,1.10347,3274.0,asia
1704162600,EURUSD,1.10347,1.10359,1.10346,1.10356,3255.0,asia
1704163500,EURUSD,1.10356,1.10382,1.10356,1.10381,4150.0,asia
1704164400,EURUSD,1.10381,1.10434,1.10374,1.10388,6069.0,asia
1704165300,EURUSD,1.10388,1.10431,1.10387,1.10394,5356.0,asia
1704166200,EURUSD,1.10394,1.10397,1.10367,1.10382,5646.0,asia
1704167100,EURUSD,1.10382,1.104,1.10342,1.10348,4914.0,asia
1704168000,EURUSD,1.10348,1.10359,1.10314,1.10317,4657.0,asia
1704168900,EURUSD,1.10317,1.10318,1.10261,1.10262,4535.0,asia
1704169800,EURUSD,1.10262,1.10269,1.10221,1.10236,5468.0,asia
1704170700,EURUSD,1.10236,1.10241,1.10183,1.10188,5472.0,asia
1704171600,EURUSD,1.10188,1.10236,1.10176,1.10223,5225.0,asia
1704172500,EURUSD,1.10223,1.1024,1.10206,1.10213,4392.0,asia
1704173400,EURUSD,1.10213,1.10231,1.10206,1.10231,4224.0,asia
1704174300,EURUSD,1.10231,1.10248,1.10231,1.10245,4197.0,asia
1704175200,EURUSD,1.10245,1.10249,1.10208,1.10219,4021.0,asia
1704176100,EURUSD,1.10219,1.10225,1.10192,1.10193,3449.0,asia
1704177000,EURUSD,1.10193,1.10205,1.10173,1.10176,4050.0,asia
1704177900,EURUSD,1.10175,1.10211,1.10165,1.10209,4055.0,asia
1704178800,EURUSD,1.10209,1.10252,1.10208,1.10251,4325.0,asia
1704179700,EURUSD,1.10251,1.10283,1.10247,1.10266,4314.0,asia
1704180600,EURUSD,1.10266,1.10304,1.10265,1.10302,4106.0,asia
1704181500,EURUSD,1.10302,1.10336,1.10294,1.10334,4919.0,asia
1704182400,EURUSD,1.10334,1.10343,1.10318,1.10323,4240.0,london
1704183300,EURUSD,1.10323,1.10338,1.10302,1.10321,3994.0,london
1704184200,EURUSD,1.10321,1.10349,1.1031,1.10338,4563.0,london
1704185100,EURUSD,1.10338,1.10352,1.10269,1.10288,4766.0,london
1704186000,EURUSD,1.10288,1.10312,1.10247,1.10284,6513.0,london
1704186900,EURUSD,1.10284,1.10377,1.10278,1.10372,6297.0,london
1704187800,EURUSD,1.10372,1.10381,1.10299,1.10301,6335.0,london
1704188700,EURUSD,1.10301,1.10315,1.10152,1.10155,7396.0,london
1704189600,EURUSD,1.10155,1.10389,1.10155,1.10325,8251.0,london
1704190500,EURUSD,1.10324,1.10343,1.10276,1.10289,7467.0,london
1704191400,EURUSD,1.10289,1.10331,1.1028,1.10294,7129.0,london
1704192300,EURUSD,1.10296,1.10331,1.10253,1.10298,7197.0,london
1704193200,EURUSD,1.10298,1.10364,1.1029,1.10352,7315.0,london
1704194100,EURUSD,1.10351,1.10379,1.10331,1.10333,6953.0,london
1704195000,EURUSD,1.10332,1.10352,1.10189,1.10198,7149.0,london
1704195900,EURUSD,1.1019700000000001,1.102,1.10108,1.10152,7384.0,london
1704196800,EURUSD,1.10152,1.1017,1.09972,1.10001,7308.0,london
1704197700,EURUSD,1.10001,1.10057,1.09996,1.1004,7146.0,london
1704198600,EURUSD,1.10039,1.10102,1.10029,1.10098,6915.0,london
1704199500,EURUSD,1.10098,1.10112,1.1003,1.10076,7183.0,london
1704200400,EURUSD,1.10076,1.10078,1.09894,1.09898,7789.0,newyork
1704201300,EURUSD,1.09898,1.09921,1.09786,1.09805,7946.0,newyork
1704202200,EURUSD,1.09805,1.09805,1.09705,1.09711,7970.0,newyork
1704203100,EURUSD,1.09711,1.09729,1.09667,1.09692,7626.0,newyork
1704204000,EURUSD,1.09692,1.0971899999999999,1.09679,1.09693,7301.0,newyork
1704204900,EURUSD,1.09693,1.09695,1.09613,1.09656,7292.0,newyork
1704205800,EURUSD,1.09656,1.09682,1.0958,1.09608,7435.0,newyork
