timestamp_utc,symbol,open,high,low,close,volume,session
1704153600,GBPUSD,1.27202,1.2724,1.27194,1.2723200000000001,210.0,asia
1704154500,GBPUSD,1.2723200000000001,1.27285,1.27211,1.2727,373.0,asia
1704155400,GBPUSD,1.2727,1.2730299999999999,1.27194,1.2730299999999999,912.0,asia
1704156300,GBPUSD,1.2730299999999999,1.27318,1.27273,1.27273,567.0,asia
1704157200,GBPUSD,1.27273,1.2735,1.27273,1.27322,2191.0,asia
1704158100,GBPUSD,1.27322,1.27322,1.27261,1.27306,3112.0,asia
1704159000,GBPUSD,1.27306,1.27309,1.27267,1.27268,3182.0,asia
1704159900,GBPUSD,1.27268,1.27287,1.27261,1.27273,3326.0,asia
1704160800,GBPUSD,1.27273,1.27297,1.2726600000000001,1.27276,3854.0,asia
1704161700,GBPUSD,1.27276,1.2729300000000001,1.27216,1.27231,3919.0,asia
1704162600,GBPUSD,1.2723,1.27244,1.27217,1.27223,4419.0,asia
1704163500,GBPUSD,1.27223,1.2726600000000001,1.27221,1.27256,5049.0,asia
1704164400,GBPUSD,1.27256,1.2732999999999999,1.2723900000000001,1.27254,6326.0,asia
1704165300,GBPUSD,1.27256,1.2730000000000001,1.27253,1.2726,5811.0,asia
1704166200,GBPUSD,1.2726,1.27263,1.27215,1.27245,5975.0,asia
1704167100,GBPUSD,1.27245,1.27267,1.27202,1.27207,5342.0,asia
1704168000,GBPUSD,1.27207,1.27254,1.27206,1.27244,4584.0,asia
1704168900,GBPUSD,1.27244,1.27245,1.27209,1.2721,5118.0,asia
1704169800,GBPUSD,1.2721,1.27229,1.27125,1.27142,5319.0,asia
1704170700,GBPUSD,1.27142,1.27148,1.27098,1.27104,5528.0,asia
1704171600,GBPUSD,1.27104,1.27169,1.27098,1.27155,5135.0,asia
1704172500,GBPUSD,1.27155,1.27166,1.27126,1.27136,5043.0,asia
1704173400,GBPUSD,1.27136,1.27159,1.27136,1.27158,4349.0,asia
1704174300,GBPUSD,1.27158,1.27199,1.27131,1.27184,4287.0,asia
1704175200,GBPUSD,1.27184,1.27189,1.27145,1.27154,3758.0,asia
1704176100,GBPUSD,1.27154,1.2716,1.27129,1.2713,3540.0,asia
1704177000,GBPUSD,1.2713,1.2716,1.27126,1.27128,3509.0,asia
1704177900,GBPUSD,1.27128,1.27143,1.27109,1.27142,3551.0,asia
1704178800,GBPUSD,1.27142,1.2721,1.27142,1.2720799999999999,4751.0,asia
1704179700,GBPUSD,1.2720799999999999,1.2725,1.27203,1.2723900000000001,4489.0,asia
1704180600,GBPUSD,1.2723900000000001,1.27304,1.27236,1.27299,4588.0,asia
1704181500,GBPUSD,1.27299,1.2741,1.27294,1.27369,5073.0,asia
1704182400,GBPUSD,1.27369,1.27371,1.27318,1.27339,4891.0,london
1704183300,GBPUSD,1.27339,1.27343,1.27312,1.2734,4901.0,london
1704184200,GBPUSD,1.2734,1.27365,1.27325,1.27336,4800.0,london
1704185100,GBPUSD,1.27336,1.2736100000000001,1.27289,1.27308,5013.0,london
1704186000,GBPUSD,1.27314,1.27366,1.2726600000000001,1.27344,7009.0,london
1704186900,GBPUSD,1.27344,1.27417,1.27341,1.2738800000000001,6678.0,london
1704187800,GBPUSD,1.2738800000000001,1.27439,1.27337,1.2734,6432.0,london
1704188700,GBPUSD,1.2734,1.2737,1.27308,1.2732299999999999,7800.0,london
1704189600,GBPUSD,1.27322,1.2759800000000001,1.27294,1.2757399999999999,8362.0,london
1704190500,GBPUSD,1.2757399999999999,1.2758099999999999,1.27461,1.2749,7689.0,london
1704191400,GBPUSD,1.2749,1.27536,1.27446,1.27487,7623.0,london
1704192300,GBPUSD,1.2749,1.2754400000000001,1.27467,1.27498,7405.0,london
1704193200,GBPUSD,1.27498,1.27563,1.2745600000000001,1.27512,7619.0,london
1704194100,GBPUSD,1.27512,1.27527,1.27424,1.27455,7451.0,london
1704195000,GBPUSD,1.27444,1.27464,1.27261,1.2727,7729.0,london
1704195900,GBPUSD,1.2727,1.2727,1.2717,1.27175,7343.0,london
1704196800,GBPUSD,1.2717399999999999,1.27184,1.27027,1.27064,7536.0,london
1704197700,GBPUSD,1.27063,1.27126,1.27062,1.27096,7612.0,london
1704198600,GBPUSD,1.27095,1.27146,1.27026,1.27072,7738.0,london
1704199500,GBPUSD,1.27071,1.2707600000000001,1.26922,1.26951,7571.0,london
1704200400,GBPUSD,1.2695,1.2695,1.26685,1.26699,8083.0,newyork
1704201300,GBPUSD,1.26699,1.26826,1.26671,1.26731,7984.0,newyork
1704202200,GBPUSD,1.26731,1.26742,1.26581,1.26584,8012.0,newyork
1704203100,GBPUSD,1.26584,1.2663,1.2654,1.2662499999999999,7852.0,newyork
1704204000,GBPUSD,1.26624,1.2663,1.26524,1.2656399999999999,7712.0,newyork
1704204900,GBPUSD,1.26563,1.2662900000000001,1.26541,1.2659,7530.0,newyork
1704205800,GBPUSD,1.26589,1.2659799999999999,1.26453,1.26477,7589.0,newyork
1704206700,GBPUSD,1.2647599999999999,1.26506,1.26393,1.26434,7643.0,newyork
1704207600,GBPUSD,1.26434,1.26484,1.2640500000000001,1.2644199999999999,7838.0,newyork
1704208500,GBPUSD,1.2644199999999999,1.26477,1.26346,1.26398,7857.0,newyork
1704209400,GBPUSD,1.26398,1.26478,1.26352,1.26382,8173.0,newyork
1704210300,GBPUSD,1.26382,1.26393,1.26215,1.26296,7806.0,newyork
1704211200,GBPUSD,1.26295,1.26367,1.26201,1.26241,8203.0,newyork
1704212100,GBPUSD,1.26241,1.26383,1.26221,1.2635100000000001,8138.0,newyork
1704213000,GBPUSD,1.2635,1.26446,1.26314,1.2636,8592.0,newyork
1704213900,GBPUSD,1.2636,1.26421,1.26246,1.26281,8632.0,newyork
1704214800,GBPUSD,1.2628,1.26372,1.26199,1.26231,8685.0,newyork
1704215700,GBPUSD,1.26231,1.26321,1.26157,1.26272,8519.0,newyork
1704216600,GBPUSD,1.26275,1.26275,1.26153,1.26169,8653.0,newyork
1704217500,GBPUSD,1.2616800000000001,1.26258,1.26151,1.2624900000000001,8546.0,newyork
1704218400,GBPUSD,1.2624900000000001,1.26353,1.26173,1.26304,8572.0,newyork
1704219300,GBPUSD,1.26304,1.2631999999999999,1.26221,1.26239,7887.0,newyork
1704220200,GBPUSD,1.26239,1.26239,1.26106,1.26158,7546.0,newyork
1704221100,GBPUSD,1.26158,1.26328,1.26154,1.26295,7394.0,newyork
1704222000,GBPUSD,1.26294,1.26329,1.26237,1.26289,6910.0,newyork
1704222900,GBPUSD,1.26289,1.26335,1.26219,1.26312,7287.0,newyork
1704223800,GBPUSD,1.26311,1.26371,1.263,1.26338,6613.0,newyork
1704224700,GBPUSD,1.26338,1.26352,1.26281,1.26329,6878.0,newyork
1704225600,GBPUSD,1.26329,1.26346,1.26236,1.26308,6816.0,newyork
1704226500,GBPUSD,1.26308,1.26346,1.26292,1.26321,6670.0,newyork
1704227400,GBPUSD,1.26321,1.26322,1.2625899999999999,1.26269,6538.0,newyork
1704228300,GBPUSD,1.26269,1.26307,1.2624900000000001,1.26258,7304.0,newyork
1704229200,GBPUSD,1.2625899999999999,1.2626,1.262,1.26234,6790.0,newyork
1704230100,GBPUSD,1.26234,1.26264,1.26211,1.2625899999999999,6276.0,newyork
1704231000,GBPUSD,1.2625899999999999,1.26266,1.26215,1.26251,5997.0,newyork
1704231900,GBPUSD,1.26251,1.2625899999999999,1.2619799999999999,1.262,6966.0,newyork
1704232800,GBPUSD,1.26201,1.26257,1.2619099999999999,1.26238,6515.0,newyork
1704233700,GBPUSD,1.26238,1.26264,1.26199,1.26202,6657.0,newyork
1704234600,GBPUSD,1.26201,1.26236,1.26194,1.2619799999999999,6520.0,newyork
1704235500,GBPUSD,1.2619799999999999,1.26238,1.26158,1.26174,7016.0,newyork
1704236400,GBPUSD,1.26175,1.26193,1.26155,1.2618800000000001,4264.0,newyork
1704237300,GBPUSD,1.2618800000000001,1.26207,1.26174,1.26176,3791.0,newyork
1704238200,GBPUSD,1.26175,1.26215,1.26175,1.26196,2894.0,newyork
1704239100,GBPUSD,1.26196,1.26208,1.2615,1.2615,2132.0,newyork
1704240000,GBPUSD,1.2616100000000001,1.26209,1.26138,1.26181,427.0,asia
1704240900,GBPUSD,1.26181,1.26208,1.26154,1.26193,821.0,asia
1704241800,GBPUSD,1.26192,1.26208,1.2617099999999999,1.26177,881.0,asia
1704242700,GBPUSD,1.26177,1.26206,1.26174,1.26194,1359.0,asia
1704243600,GBPUSD,1.26194,1.26214,1.2619,1.26211,1181.0,asia
1704244500,GBPUSD,1.26211,1.2623,1.262,1.2623,2116.0,asia
1704245400,GBPUSD,1.2623,1.2623,1.26206,1.26218,2004.0,asia
1704246300,GBPUSD,1.26218,1.26238,1.26217,1.2622200000000001,2163.0,asia
1704247200,GBPUSD,1.2622200000000001,1.26242,1.26197,1.26242,3172.0,asia
1704248100,GBPUSD,1.26242,1.26292,1.2623,1.26291,3214.0,asia
1704249000,GBPUSD,1.26291,1.2631999999999999,1.2629000000000001,1.26312,4947.0,asia
1704249900,GBPUSD,1.2631299999999999,1.26315,1.26288,1.26309,4594.0,asia
1704250800,GBPUSD,1.26309,1.26336,1.26292,1.26307,5393.0,asia
1704251700,GBPUSD,1.26307,1.26307,1.26251,1.26292,6535.0,asia
1704252600,GBPUSD,1.26292,1.26321,1.2628,1.26296,6176.0,asia
1704253500,GBPUSD,1.26295,1.26328,1.26284,1.26289,5188.0,asia
1704254400,GBPUSD,1.26289,1.2631000000000001,1.2627,1.26292,5574.0,asia
1704255300,GBPUSD,1.26292,1.26292,1.26266,1.26274,5135.0,asia
1704256200,GBPUSD,1.26274,1.26287,1.26264,1.26269,5286.0,asia
1704257100,GBPUSD,1.26269,1.26299,1.26263,1.26289,5379.0,asia
1704258000,GBPUSD,1.26289,1.26333,1.26287,1.26299,5296.0,asia
1704258900,GBPUSD,1.26299,1.26327,1.26294,1.26321,5193.0,asia
1704259800,GBPUSD,1.26321,1.26371,1.26321,1.2637,5677.0,asia
1704260700,GBPUSD,1.2637,1.2640799999999999,1.2637,1.26402,5515.0,asia
1704261600,GBPUSD,1.26402,1.2641499999999999,1.26391,1.26402,4803.0,asia
1704262500,GBPUSD,1.26401,1.26409,1.26382,1.26389,5130.0,asia
1704263400,GBPUSD,1.26389,1.26403,1.2638099999999999,1.26388,5124.0,asia
1704264300,GBPUSD,1.26388,1.26413,1.2638,1.26411,4503.0,asia
1704265200,GBPUSD,1.26411,1.26414,1.2638,1.26389,5237.0,asia
1704266100,GBPUSD,1.26389,1.26406,1.2637,1.2637,5167.0,asia
1704267000,GBPUSD,1.2637,1.26401,1.26331,1.2634,5407.0,asia
1704267900,GBPUSD,1.2634,1.26342,1.26299,1.26303,5703.0,asia
1704268800,GBPUSD,1.26303,1.26371,1.26302,1.26371,5656.0,london
1704269700,GBPUSD,1.26371,1.26392,1.26341,1.26385,5742.0,london
1704270600,GBPUSD,1.26385,1.26426,1.26384,1.26422,4911.0,london
1704271500,GBPUSD,1.26422,1.26462,1.26419,1.2643499999999999,4817.0,london
1704272400,GBPUSD,1.26432,1.26432,1.26314,1.26316,6823.0,london
1704273300,GBPUSD,1.26316,1.26353,1.26243,1.2634,7102.0,london
1704274200,GBPUSD,1.2634,1.26406,1.26309,1.26331,7487.0,london
1704275100,GBPUSD,1.2633,1.2647,1.26321,1.26434,6996.0,london
1704276000,GBPUSD,1.26434,1.2648,1.2635399999999999,1.2648,8032.0,london
1704276900,GBPUSD,1.26477,1.26525,1.264,1.26436,8142.0,london
1704277800,GBPUSD,1.26436,1.26487,1.26388,1.26436,7937.0,london
1704278700,GBPUSD,1.26437,1.2647599999999999,1.264,1.26413,7422.0,london
1704279600,GBPUSD,1.26413,1.26468,1.26334,1.26342,7885.0,london
1704280500,GBPUSD,1.26342,1.26353,1.26287,1.26311,7875.0,london
1704281400,GBPUSD,1.26311,1.26373,1.26288,1.2635100000000001,7800.0,london
1704282300,GBPUSD,1.2635100000000001,1.26373,1.26253,1.26277,7936.0,london
1704283200,GBPUSD,1.26276,1.26314,1.26251,1.26277,7471.0,london
1704284100,GBPUSD,1.26276,1.26281,1.26223,1.26223,7462.0,london
1704285000,GBPUSD,1.26223,1.26314,1.2622200000000001,1.2624,7277.0,london
1704285900,GBPUSD,1.2624,1.26281,1.262,1.26267,6819.0,london
1704286800,GBPUSD,1.26267,1.26311,1.26254,1.26299,7625.0,newyork
1704287700,GBPUSD,1.26299,1.26299,1.2619799999999999,1.26233,6873.0,newyork
1704288600,GBPUSD,1.2623199999999999,1.26284,1.2618800000000001,1.26248,7685.0,newyork
1704289500,GBPUSD,1.26248,1.26314,1.26231,1.26267,7612.0,newyork
1704290400,GBPUSD,1.26267,1.26325,1.26244,1.2631999999999999,7537.0,newyork
1704291300,GBPUSD,1.2631999999999999,1.26422,1.26251,1.26264,7332.0,newyork
1704292200,GBPUSD,1.26264,1.26297,1.26202,1.26247,7382.0,newyork
1704293100,GBPUSD,1.26247,1.26297,1.26212,1.26245,7548.0,newyork
1704294000,GBPUSD,1.26244,1.26287,1.26233,1.2625899999999999,7800.0,newyork
1704294900,GBPUSD,1.2625899999999999,1.26335,1.26184,1.26328,8079.0,newyork
1704295800,GBPUSD,1.26325,1.2643,1.26316,1.26364,8156.0,newyork
1704296700,GBPUSD,1.26363,1.26382,1.2622499999999999,1.26297,8259.0,newyork
1704297600,GBPUSD,1.26297,1.26312,1.26177,1.26203,8379.0,newyork
1704298500,GBPUSD,1.26203,1.26288,1.2618,1.26268,8346.0,newyork
1704299400,GBPUSD,1.26268,1.26307,1.26202,1.26281,8596.0,newyork
1704300300,GBPUSD,1.26281,1.26418,1.26262,1.26322,8536.0,newyork
1704301200,GBPUSD,1.26275,1.2656399999999999,1.26234,1.2631700000000001,8804.0,newyork
1704302100,GBPUSD,1.26318,1.26516,1.26289,1.26411,8732.0,newyork
1704303000,GBPUSD,1.26409,1.26487,1.26221,1.26269,8680.0,newyork
1704303900,GBPUSD,1.26269,1.26353,1.26156,1.26279,8688.0,newyork
1704304800,GBPUSD,1.26279,1.2644,1.2627,1.26432,8664.0,newyork
1704305700,GBPUSD,1.26431,1.26505,1.26426,1.26446,8369.0,newyork
1704306600,GBPUSD,1.26446,1.26486,1.26391,1.26426,8466.0,newyork
1704307500,GBPUSD,1.26423,1.26447,1.26376,1.2640500000000001,7915.0,newyork
1704308400,GBPUSD,1.2640500000000001,1.26433,1.2637,1.26414,7785.0,newyork
1704309300,GBPUSD,1.26414,1.26472,1.26407,1.26467,7197.0,newyork
1704310200,GBPUSD,1.26467,1.26475,1.26424,1.26464,6996.0,newyork
1704311100,GBPUSD,1.26464,1.2647,1.26397,1.26446,7582.0,newyork
1704312000,GBPUSD,1.26446,1.26528,1.26429,1.26507,7506.0,newyork
1704312900,GBPUSD,1.26507,1.26545,1.26477,1.2650299999999999,7641.0,newyork
1704313800,GBPUSD,1.2650299999999999,1.26506,1.26409,1.26434,7145.0,newyork
1704314700,GBPUSD,1.26434,1.2650299999999999,1.26427,1.26477,7165.0,newyork
1704315600,GBPUSD,1.26479,1.26556,1.26309,1.26429,8667.0,newyork
1704316500,GBPUSD,1.26429,1.26749,1.26426,1.26732,8469.0,newyork
1704317400,GBPUSD,1.26742,1.26765,1.26615,1.26701,8341.0,newyork
1704318300,GBPUSD,1.26697,1.26718,1.2662900000000001,1.2664,8251.0,newyork
1704319200,GBPUSD,1.2664,1.26657,1.26599,1.26644,8025.0,newyork
1704320100,GBPUSD,1.2664900000000001,1.2666,1.26541,1.26601,7317.0,newyork
1704321000,GBPUSD,1.26602,1.2664900000000001,1.2659099999999999,1.26607,7488.0,newyork
1704321900,GBPUSD,1.26607,1.26667,1.26597,1.26636,7745.0,newyork
1704322800,GBPUSD,1.26635,1.26666,1.26628,1.26666,4711.0,newyork
1704323700,GBPUSD,1.26666,1.2668300000000001,1.26636,1.26666,3288.0,newyork
1704324600,GBPUSD,1.26665,1.26676,1.26633,1.2665600000000001,3213.0,newyork
1704325500,GBPUSD,1.2665600000000001,1.2665600000000001,1.26617,1.26641,2452.0,newyork
1704326400,GBPUSD,1.2664,1.26668,1.2656399999999999,1.2664900000000001,250.0,asia
1704327300,GBPUSD,1.26645,1.2668,1.2662200000000001,1.26638,931.0,asia
1704328200,GBPUSD,1.26639,1.26661,1.26634,1.26654,803.0,asia
1704329100,GBPUSD,1.26654,1.26667,1.26643,1.26646,1035.0,asia
1704330000,GBPUSD,1.26646,1.26699,1.26646,1.26672,1943.0,asia
1704330900,GBPUSD,1.26672,1.26698,1.26665,1.26695,2956.0,asia
1704331800,GBPUSD,1.26695,1.26715,1.26674,1.26696,2850.0,asia
1704332700,GBPUSD,1.26696,1.26735,1.26694,1.26729,2751.0,asia
1704333600,GBPUSD,1.26729,1.26731,1.26678,1.267,4577.0,asia
1704334500,GBPUSD,1.267,1.26728,1.26698,1.26716,4326.0,asia
1704335400,GBPUSD,1.26716,1.2671700000000001,1.26665,1.26666,4683.0,asia
1704336300,GBPUSD,1.26666,1.26701,1.26657,1.26689,5640.0,asia
1704337200,GBPUSD,1.26689,1.267,1.2665600000000001,1.26661,6297.0,asia
1704338100,GBPUSD,1.26661,1.26695,1.26631,1.26634,6638.0,asia
1704339000,GBPUSD,1.26634,1.2664,1.266,1.2661,6656.0,asia
1704339900,GBPUSD,1.2661,1.2665,1.2661,1.2662200000000001,6571.0,asia
1704340800,GBPUSD,1.2662200000000001,1.26637,1.26604,1.26617,5945.0,asia
1704341700,GBPUSD,1.26617,1.26617,1.26569,1.26599,6032.0,asia
1704342600,GBPUSD,1.26599,1.2662499999999999,1.2658800000000001,1.26593,5231.0,asia
1704343500,GBPUSD,1.26593,1.26603,1.2656800000000001,1.26597,5151.0,asia
1704344400,GBPUSD,1.26597,1.26637,1.2659,1.26637,5492.0,asia
1704345300,GBPUSD,1.26637,1.26707,1.26633,1.26697,5312.0,asia
1704346200,GBPUSD,1.26697,1.26729,1.26681,1.26709,6214.0,asia
1704347100,GBPUSD,1.26709,1.26733,1.26705,1.26732,4790.0,asia
1704348000,GBPUSD,1.26732,1.26759,1.26711,1.26722,5218.0,asia
1704348900,GBPUSD,1.26722,1.2675,1.2671999999999999,1.26722,4733.0,asia
1704349800,GBPUSD,1.26722,1.26755,1.2671999999999999,1.2674,4572.0,asia
1704350700,GBPUSD,1.2674,1.26741,1.26698,1.26702,5257.0,asia
1704351600,GBPUSD,1.26702,1.26712,1.26684,1.26697,5927.0,asia
1704352500,GBPUSD,1.26697,1.26722,1.26693,1.26696,5694.0,asia
1704353400,GBPUSD,1.26696,1.26707,1.26633,1.26651,5641.0,asia
1704354300,GBPUSD,1.26651,1.26676,1.26645,1.26655,5651.0,asia
1704355200,GBPUSD,1.26655,1.26703,1.26653,1.26703,5765.0,london
1704356100,GBPUSD,1.26703,1.26762,1.26699,1.2675,6064.0,london
1704357000,GBPUSD,1.26748,1.26765,1.26693,1.26712,6368.0,london
1704357900,GBPUSD,1.26712,1.26793,1.26704,1.26793,5907.0,london
